sku,description,sales_price,cost
NET-CAT6-BK-1M-LQ-L2-16-02,1M CAT6 MOULDED FLYLEAD BLACK,31.7142857142857,22.2
NRGX2EUC71M,1M NRG-X2 EU - C7 Power Cable,1129.57,913.04
NRGX3EUC131M,1M NRG-X3 EU - C13 Power Cable,1390.4299999999998,1095.6499999999999
1M Rip Cord,1M Rip Cord,1.0,0.0
WL-SMAM-1,1M SMA Male to SMA Male Cable,145.0,100.0
WL-SMA-1,1M SMA R/P to N-Type Male LMR Cable,175.0,115.0
HDD-WD-1TB_C,1TB Surveilance HDD,1291.8,904.26
NET-PP1U/BLB: 1U BLANKING PANEL,1U BLANKING PANEL,98.5714285714286,69.0
RCK-SH-J019-1U,1U BLANKING PANEL,79.0714285714286,55.35
NET-BRUSH-LQ G8-21-01,1U BRUSH PANEL WITH SHORT BASE PLATE WITH SCREWS LME101,132.857142857143,93.0
RCK-SH-J017-G3-10-01,1U CANTILEVER SHELF DIM 450MM,338.0,236.6
RMB-SIPA12F-00,1U FRONT RACK MOUNT BRACKET FOR SINGLE ZONE AMP,1604.35,962.61
SLIMMAX8K1M,1m 8K Ultra High Speed Slimwire Max (48G),607.83,364.7
LKV824P,1×4 HDMI SPLITTER WITH EXTENDER,12148.57,8504.0
HDMI-2SPL,2 PORT HDMI SPLITTER,506.05,349.0
HQWT-U-P2W-GR-E,2-Button Grey Palladiom Engraved 2x4,8608.699999999999,5940.0
DH-IPC-HFW5241EP-ZE-27135,"2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image.Outputs max. 2 MP (1920 × 1080)@30 fps.Built-in IR LED, and the max. illuminat",4844.45,3341.0
CON-SDC2-00,2-PIN SCREW-DOWN CONNECTOR 25-PACK,1663.4799999999998,998.09
CON-STC2-00,2-PIN SPRING-LOADED CONNECTOR 25-PACK,3327.83,1996.6999999999998
EUR-SCH,2-Pin Schuko to 16A 3-Pin Adaptor,17.0,12.0
HDM48CAR200,2.0M 48G CARBON HDMI,5739.129999999999,4017.39
HDM48CIN200,2.0M 48G CINNAMON HDMI,3652.1699999999996,2556.52
HDM48FOR200,2.0M 48G FOREST HDMI,1913.04,1339.1299999999999
HDM48PEA200,2.0M 48G PEARL HDMI,1217.3899999999999,852.17
BLAB02,2.0M BLACK LAB SUBWOOFER,1043.48,730.43
